image,Gx,Gy,Rx,Ry,time_s
cathedral,2,5,3,12,0.46
church,4,25,-4,58,9.46
emir,24,49,40,107,9.98
harvesters,17,60,14,124,10.13
icon,17,42,23,90,10.16
italil,22,38,36,77,10.39
lastochikino,-2,-3,-8,76,9.80
lugano,-17,41,-29,92,10.92
melons,10,80,13,177,11.22
monastery,2,-3,2,3,0.42
self_portrait,29,78,37,175,10.68
siren,-6,49,-24,96,11.08
three_generations,12,53,9,111,10.20
tobolsk,3,3,3,6,0.43
cathedral,2,5,3,12,0.40
church,4,25,-4,58,9.73
emir,24,49,40,107,10.57
harvesters,17,60,14,124,10.25
icon,17,42,23,90,10.66
italil,22,38,36,77,10.82
lastochikino,-2,-3,-8,76,10.64
lugano,-17,41,-29,92,10.76
melons,10,80,13,177,11.23
monastery,2,-3,2,3,0.41
self_portrait,29,78,37,175,11.22
siren,-6,49,-24,96,10.63
three_generations,12,53,9,111,11.01
tobolsk,3,3,3,6,0.40
cathedral,2,5,3,12,0.41
church,4,25,-4,58,10.81
emir,24,49,40,107,10.87
harvesters,17,60,14,124,10.45
icon,17,42,23,90,10.48
italil,22,38,36,77,10.76
lastochikino,-2,-3,-8,76,10.79
lugano,-17,41,-29,92,11.96
melons,10,80,13,177,11.24
monastery,2,-3,2,3,0.40
self_portrait,29,78,37,175,11.62
siren,-6,49,-24,96,11.51
three_generations,12,53,9,111,11.32
tobolsk,3,3,3,6,0.40
