image,Gx,Gy,Rx,Ry,time_s
cathedral,2,5,3,12,0.39
church,4,25,-4,58,8.70
emir,24,49,40,107,9.54
harvesters,17,60,14,124,8.95
icon,17,42,23,90,9.81
italil,22,38,36,77,9.98
lastochikino,-2,-3,-8,76,10.12
lugano,-17,41,-29,92,10.54
melons,10,80,13,177,10.25
monastery,2,-3,2,3,0.38
self_portrait,29,78,37,175,9.97
siren,-6,49,-24,96,10.49
three_generations,12,53,9,111,9.53
tobolsk,3,3,3,6,0.41
cathedral,2,5,3,12,0.48
church,4,25,-4,58,9.20
emir,24,49,40,107,9.53
harvesters,17,60,14,124,10.10
icon,17,42,23,90,10.18
italil,22,38,36,77,10.07
lastochikino,-2,-3,-8,76,9.85
lugano,-17,41,-29,92,9.79
melons,10,80,13,177,10.61
monastery,2,-3,2,3,0.41
self_portrait,29,78,37,175,9.95
siren,-6,49,-24,96,10.64
three_generations,12,53,9,111,9.80
tobolsk,3,3,3,6,0.41
cathedral,2,5,3,12,0.37
church,4,25,-4,58,9.55
emir,24,49,40,107,9.86
harvesters,17,60,14,124,10.17
icon,17,42,23,90,10.34
italil,22,38,36,77,9.66
lastochikino,-2,-3,-8,76,10.17
lugano,-17,41,-29,92,10.35
melons,10,80,13,177,9.67
monastery,2,-3,2,3,0.44
self_portrait,29,78,37,175,10.00
siren,-6,49,-24,96,9.69
three_generations,12,53,9,111,9.60
tobolsk,3,3,3,6,0.38
